Easting Northing Q1 I1 Q05 I05 elevation
741606.892 3669794.298 83.96 0.99 60.87 0.33 68.643
741607.372 3669794.279 84.59 1.01 60.71 0.33 68.634
741607.782 3669794.262 83.81 0.97 60.55 0.32 68.627
741608.311 3669794.239 83.3 0.95 60.91 0.32 68.62
741609.333 3669794.187 83.77 0.99 60.83 0.33 68.613
741609.846 3669794.168 83.92 0.94 60.75 0.32 68.605
741610.286 3669794.158 83.77 0.86 61.49 0.29 68.595
741610.725 3669794.147 83.49 0.82 61.53 0.29 68.586
741611.18 3669794.139 84.08 0.83 61.34 0.31 68.581
741611.996 3669794.143 84.04 0.88 60.87 0.32 68.598
741612.635 3669794.146 83.53 0.84 60.59 0.32 68.608
741613.077 3669794.147 82.79 0.84 59.38 0.34 68.6
741613.59 3669794.147 82.4 0.88 59.38 0.35 68.591
741614.067 3669794.147 84.12 1.03 60.16 0.33 68.583
741614.692 3669794.146 84.63 0.96 60.2 0.33 68.605
741615.517 3669794.145 84.47 0.93 59.62 0.33 68.638
741615.969 3669794.147 84.08 0.91 58.91 0.33 68.633
741616.431 3669794.149 84.12 0.99 59.66 0.35 68.619
741617.061 3669794.153 83.61 0.93 60.32 0.33 68.601
741617.759 3669794.156 84.9 0.97 60.44 0.33 68.608
741618.525 3669794.16 84.9 1 60.44 0.33 68.622
