Easting Northing EcaH1 I1 EcaH05 i05 elevation
741543.107 3669642.252 48.45 -1.77 31.73 -0.97 71.728
741542.339 3669642.267 47.95 -1.75 31.45 -0.95 71.754
741541.543 3669642.281 47.95 -1.72 31.45 -0.95 71.779
741541.043 3669642.288 47.79 -1.74 31.22 -0.96 71.792
741540.579 3669642.295 47.2 -1.76 31.1 -0.97 71.805
741540.158 3669642.301 46.73 -1.72 30.83 -0.96 71.816
741539.577 3669642.311 46.42 -1.68 30.71 -0.94 71.823
741538.396 3669642.335 45.64 -1.71 29.85 -0.95 71.816
741537.64 3669642.355 43.69 -1.72 29.27 -0.95 71.822
741537.036 3669642.373 44 -1.7 28.68 -0.94 71.835
741536.474 3669642.39 42.95 -1.7 28.09 -0.94 71.847
741535.826 3669642.406 42.4 -1.73 28.02 -0.95 71.874
741534.767 3669642.428 42.09 -1.75 27.08 -0.95 71.933
741533.98 3669642.438 40.99 -1.73 26.49 -0.95 71.962
741533.307 3669642.442 40.17 -1.7 26.18 -0.94 71.974
741532.948 3669642.444 38.61 -1.68 25.16 -0.92 71.981
741532.263 3669642.446 38.02 -1.68 24.73 -0.92 71.997
741531.318 3669642.448 37.79 -1.71 24.66 -0.92 72.028
741530.52 3669642.45 37.09 -1.7 24.5 -0.91 72.056
741529.922 3669642.453 36.19 -1.73 24.3 -0.91 72.085
741529.232 3669642.457 35.68 -1.71 23.95 -0.91 72.117
741528.772 3669642.459 35.33 -1.7 23.72 -0.92 72.139
741527.782 3669642.471 34.2 -1.71 23.41 -0.92 72.159
741526.757 3669642.483 35.33 -1.74 23.52 -0.93 72.179
741526.075 3669642.49 34.23 -1.74 23.72 -0.93 72.2
741525.67 3669642.495 35.06 -1.72 24.15 -0.93 72.212
741525.188 3669642.5 35.13 -1.69 24.11 -0.93 72.226
741524.415 3669642.514 36.11 -1.68 24.42 -0.93 72.245
741523.449 3669642.534 36.54 -1.66 24.66 -0.92 72.268
741522.731 3669642.553 35.52 -1.68 24.46 -0.93 72.29
741522.143 3669642.572 36.97 -1.73 24.58 -0.93 72.313
741521.508 3669642.592 36.97 -1.73 24.66 -0.93 72.337
741520.785 3669642.614 37.48 -1.72 24.27 -0.93 72.338
741519.704 3669642.647 36.62 -1.7 24.42 -0.92 72.312
741519.047 3669642.659 37.44 -1.73 24.03 -0.92 72.313
741518.537 3669642.666 37.52 -1.75 24.23 -0.93 72.322
741517.939 3669642.673 37.75 -1.73 24.42 -0.93 72.332
741517.488 3669642.679 37.91 -1.74 25.32 -0.93 72.343
741516.511 3669642.691 37.75 -1.81 25.4 -0.95 72.378
741515.706 3669642.703 39.86 -1.81 25.67 -0.94 72.402
741515.095 3669642.722 39.23 -1.82 26.57 -0.94 72.403
741514.66 3669642.736 39.86 -1.82 26.8 -0.95 72.404
741514.135 3669642.752 40.72 -1.77 26.53 -0.92 72.405
741512.986 3669642.791 41.19 -1.78 26.41 -0.91 72.444
741512.189 3669642.818 40.33 -1.77 26.18 -0.92 72.474
741511.638 3669642.84 40.41 -1.73 26.14 -0.92 72.496
741511.045 3669642.863 40.64 -1.75 25.87 -0.94 72.52
741510.622 3669642.88 39.78 -1.74 25.44 -0.93 72.538
741509.618 3669642.915 39.51 -1.75 25.32 -0.92 72.555
741508.809 3669642.942 39.78 -1.75 25.05 -0.91 72.566
741508.468 3669642.95 38.96 -1.76 25.36 -0.92 72.575
741507.882 3669642.962 39.47 -1.75 25.52 -0.91 72.593
741507.069 3669642.979 38.57 -1.75 25.16 -0.9 72.618
741506.656 3669642.988 38.73 -1.74 24.73 -0.91 72.636
741505.695 3669643.007 38.38 -1.76 24.38 -0.91 72.679
741504.952 3669643.022 37.95 -1.75 24.11 -0.92 72.708
741504.307 3669643.032 37.13 -1.73 24.07 -0.93 72.727
741503.832 3669643.04 36.97 -1.75 24.11 -0.92 72.741
741503.246 3669643.048 36.85 -1.72 24.15 -0.92 72.76
741501.478 3669643.054 34.94 -1.72 23.25 -0.91 72.834
741500.86 3669643.059 34.47 -1.75 22.55 -0.91 72.842
741500.29 3669643.064 34.23 -1.74 22.47 -0.91 72.849
741499.742 3669643.07 33.49 -1.74 22.31 -0.92 72.857
741498.886 3669643.094 34 -1.77 22.16 -0.93 72.88
741497.855 3669643.127 33.3 -1.78 22.2 -0.92 72.905
741497.411 3669643.15 33.14 -1.81 22.55 -0.92 72.911
741496.922 3669643.175 33.1 -1.81 22.78 -0.92 72.918
741496.344 3669643.204 33.38 -1.83 22.47 -0.92 72.926
741495.554 3669643.245 33.41 -1.83 22.39 -0.92 72.965
741494.301 3669643.307 32.98 -1.82 22.12 -0.92 73.025
741494.051 3669643.318 32.75 -1.8 21.96 -0.92 73.026
741493.387 3669643.347 32.24 -1.81 21.45 -0.91 73.03
741493.015 3669643.363 32.56 -1.78 21.73 -0.92 73.032
741492.464 3669643.389 33.06 -1.77 21.1 -0.91 73.036
741491.313 3669643.458 31.81 -1.78 21.34 -0.92 73.052
741490.473 3669643.501 31.62 -1.79 21.3 -0.92 73.065
741490.03 3669643.517 32.67 -1.8 21.02 -0.92 73.074
741489.457 3669643.538 31.7 -1.8 20.95 -0.94 73.085
741488.833 3669643.559 31.27 -1.75 20.4 -0.91 73.098
741487.802 3669643.571 30.76 -1.75 20.55 -0.9 73.121
741486.828 3669643.58 30.45 -1.71 20.71 -0.89 73.14
741486.42 3669643.581 30.88 -1.75 20.16 -0.9 73.144
741485.859 3669643.582 30.21 -1.76 19.89 -0.91 73.151
741485.56 3669643.583 29.39 -1.77 18.99 -0.91 73.154
741484.332 3669643.6 28.65 -1.75 18.41 -0.91 73.193
741483.307 3669643.62 27.91 -1.73 18.21 -0.91 73.229
